Relations,URL
Sit,https://res.cloudinary.com/dfph32nsq/video/upload/v1734890139/sit_labelled_qjmkel.mp4
Think,https://res.cloudinary.com/dfph32nsq/video/upload/v1734890139/think_labelled_s6wwuc.mp4
Stand,https://res.cloudinary.com/dfph32nsq/video/upload/v1734890139/stand_labelled_eqp833.mp4
Meet,https://res.cloudinary.com/dfph32nsq/video/upload/v1734890139/meet_labelled_gumy3r.mp4
Dance,https://res.cloudinary.com/dfph32nsq/video/upload/v1734890140/dance_labelled_esqtcb.mp4
Run,https://res.cloudinary.com/dfph32nsq/video/upload/v1734890140/run_labelled_yc8zzk.mp4
Play,https://res.cloudinary.com/dfph32nsq/video/upload/v1734890141/play_labelled_mqufuu.mp4
Smile,https://res.cloudinary.com/dfph32nsq/video/upload/v1734890140/smile_labelled_il8qfa.mp4
Draw,https://res.cloudinary.com/dfph32nsq/video/upload/v1734890141/draw_labelled_kphqz2.mp4
Travel,https://res.cloudinary.com/dfph32nsq/video/upload/v1734890144/travel_labelled_txpf7d.mp4
Teach,https://res.cloudinary.com/dfph32nsq/video/upload/v1731409737/Teach_labelled_urxibn.mp4
Swim,https://res.cloudinary.com/dfph32nsq/video/upload/v1734890142/swim_labelled_mkv4nm.mp4
Live,https://res.cloudinary.com/dfph32nsq/video/upload/v1731409740/Live_labelled_im0cj3.mp4
Love,https://res.cloudinary.com/dfph32nsq/video/upload/v1731409740/Love_labelled_flwjac.mp4
See,https://res.cloudinary.com/dfph32nsq/video/upload/v1731409740/See_labelled_vbmmjz.mp4
Go,https://res.cloudinary.com/dfph32nsq/video/upload/v1731409740/Go_labelled_crsq3i.mp4
Look,https://res.cloudinary.com/dfph32nsq/video/upload/v1731409741/Look_labelled_xp94zn.mp4
Mother is cooking dinner,https://res.cloudinary.com/dz3zoiak2/video/upload/v1731839165/5_nvihuh.mp4
We are drinking tea,https://res.cloudinary.com/dz3zoiak2/video/upload/v1731839166/12_f6ehlr.mp4
Brother is talking with sister,https://res.cloudinary.com/dz3zoiak2/video/upload/v1731839167/7_frbowk.mp4
Father has come to house,https://res.cloudinary.com/dz3zoiak2/video/upload/v1731839167/6_ceztqd.mp4
We go to market,https://res.cloudinary.com/dz3zoiak2/video/upload/v1731839168/2_ruo2xg.mp4
I write book,https://res.cloudinary.com/dz3zoiak2/video/upload/v1731839168/1_yo1wdo.mp4
They work in office,https://res.cloudinary.com/dz3zoiak2/video/upload/v1731839158/3_imckgt.mp4
I talk to friends,https://res.cloudinary.com/dz3zoiak2/video/upload/v1731839159/24_rgdnba.mp4
I Live in a house,https://res.cloudinary.com/dz3zoiak2/video/upload/v1731839165/17_giamsf.mp4
They look at birds,https://res.cloudinary.com/dz3zoiak2/video/upload/v1731839165/20_logbq8.mp4
